URL,Title,Agency,Subagency,Category,Date Released,Date Updated,Time Period,Frequency,Description,Data.gov Data Category Type,Specialized Data Category Designation,Keywords,Citation,Agency Program Page,Agency Data Series Page,Unit of Analysis,Granularity,Geographic Coverage,Collection Mode,Data Collection Instrument,Data Dictionary/Variable List,Applicable Agency Information Quality Guideline Designation,Data Quality Certification,Privacy and Confidentiality,Technical Documentation,Additional Metadata,FGDC Compliance (Geospatial Only),Statistical Methodology,Sampling,Estimation,Weighting,Disclosure Avoidance,Questionnaire Design,Series Breaks,Non-response Adjustment,Seasonal Adjustment,Statistical Characteristics,Feeds Access Point,Feeds File Size,XML Access Point,XML File Size,CSV/TXT Access Point,CSV/TXT File Size,XLS Access Point,XLS File Size,KML/KMZ Access Point,KML File Size,ESRI Access Point,ESRI File Size,Map Access Point,Data Extraction Access Point,Widget Access Point
http://www.data.gov/details/4,Next Generation Radar (NEXRAD) Locations,Department of Commerce,National Oceanic and Atmospheric Administration,Geography and Environment,1991,Irregular as needed,1991 to present,Between 4 and 10 minutes,"This geospatial rendering of weather radar sites gives access to an historical archive of Terminal Doppler Weather Radar data and is used primarily for research purposes. The archived data includes base data and derived products of the National Weather Service (NWS) Weather Surveillance Radar 88 Doppler (WSR-88D) next generation (NEXRAD) weather radar.  Weather radar detects the three meteorological base data quantities: reflectivity, mean radial velocity, and spectrum width.  From these quantities, computer processing generates numerous meteorological analysis products for forecasts, archiving and dissemination.  There are 159 operational  NEXRAD radar systems deployed throughout the United States and at selected overseas locations.  At the Radar Operations Center (ROC) in Norman OK, personnel from the NWS, Air Force, Navy, and FAA use this distributed weather radar system to collect the data needed to warn of impending severe weather and possible flash floods; support air traffic safety and assist in the management of air traffic flow control; facilitate resource protection at military bases; and optimize the management of water, agriculture, forest, and snow removal.  This data set is jointly owned by the National Oceanic and Atmospheric Administration, Federal Aviation Administration, and Department of Defense.",Raw Data Catalog,Geospatial,"NEXRAD, WSR-88D, weather, radar, precipitation, tornado, hurricane, flood, reflectivity, rainrate, historical archive, radar scans, storm events, federal data download, federal datasets, reflectivity, mean radial velocity, spectrum",<a href=" http://www.ncdc.noaa.gov/nexradinv">Historical NEXRAD and TDWR Radar Data</a>,<a href="http://www.ncdc.noaa.gov/oa/ncdc.html">http://www.ncdc.noaa.gov/oa/ncdc.html</a>,<a href="http://www.ncdc.noaa.gov/oa/radar/radarresources.html">http://www.ncdc.noaa.gov/oa/radar/radarresources.html</a>,Single Radar Volume Scan,longitude/latitude,"U.S., Puerto Rico, South Korea",computer,<a href="http://www.roc.noaa.gov">http://www.roc.noaa.gov</a>,<a href="http://www.ncdc.noaa.gov/oa/radar/radarproducts.html">http://www.ncdc.noaa.gov/oa/radar/radarproducts.html</a>,NOAA / NWS / Radar Operations Center (ROC),Yes,Yes,<a href="http://www.roc.noaa.gov/ssb/cm/icd_downloads.asp">http://www.roc.noaa.gov/ssb/cm/icd_downloads.asp</a>,<a href="http://www.ncdc.noaa.gov/oa/radar/radarproducts.html">http://www.ncdc.noaa.gov/oa/radar/radarproducts.html</a>,Yes,,,,,,,,,,,,,,,,,,,http://www.ncdc.noaa.gov/oa/radar/nexrad.kmz,8KB,,,,,
http://www.data.gov/details/6,EPA Geospatial Data Download: Facility and Site Information,Environmental Protection Agency,,Geography and Environment,1/17/2007,4/16/2009,Data describes facilities currently regulated under multiple EPA programs,"Continuous, updated as facility information is updated, added and changed","Contains informaiton about facilities or sites subject to environmental regulation, including key facility information along with associated environmental interests for use in mapping and reporting applications.",Raw Data Catalog,Administrative,"FRS, EPA, CERCLIS, NEPT, NPDES, PCS, RCRA, RCRAInfo, Superfund, NPL, TRI, regulated sites, toxic release, major discharges, brownfields, federal data download, national priorities list, public health, environment, federal datasets, kmz, xml, shapefile, sites, facilities",<a href="http://www.epa.gov/enviro/geo_data.html">EPA Geospatial Data Download</a>,<a href="http://www.epa.gov/enviro">Envirofacts</a>,<a href="http://www.epa.gov/enviro/geo_data.html">http://www.epa.gov/enviro/geo_data.html</a>,A facility regulated by one or more programs of the EPA,Coordinate Pair (latitude / longitude),United States,Other,n/a,Included with data download,Environmental Protection Agency,Yes,Not Relevant,<a href="http://www.epa.gov/enviro/html/frs_demo/geospatial_data/resources.html">http://www.epa.gov/enviro/html/frs_demo/geospatial_data/resources.html</a>,Included with data download,Yes,,,,,,,,,,,,,http://www.epa.gov/enviro/html/frs_demo/geospatial_data/EPAXMLDownload.zip,9.1MB,,,,,http://www.epa.gov/enviro/html/frs_demo/geospatial_data/national_frs.kmz,7.1MB,http://www.epa.gov/enviro/html/frs_demo/geospatial_data/EPAShapefileDownload.zip,13.9MB,,,
http://www.data.gov/details/7,ACRES - Brownfields Properties,Environmental Protection Agency,,Geography and Environment,1/17/2007,4/16/2009,Data describes facilities currently regulated under multiple EPA programs,"Continuous, updated as facility information is updated, added and changed","Brownfields are real property, the expansion, redevelopment, or reuse of which may be complicated by the presence or potential presence of a hazardous substance, pollutant or contaminant.  This dataset shows the locations of sites, facilities and properties that have been contaminated by hazardous materials and are being, or have been, cleaned up under EPA Brownfields cleanup programs.",Raw Data Catalog,Administrative,"EPA, Brownfields, Assessment Grant, Hazardous Substance, Property Redevelopment, public health, environment, federal data download, regulated sites, hazardous, contaminated, polluted, federal datasets, Land Revitalization, land redevelopment, land reuse, real property, hazardous substance, kmz, xml, Shapefile",<a href="http://www.epa.gov/enviro/geo_data.html">EPA Geospatial Data Download</a>,<a href="http://www.epa.gov/enviro">Envirofacts</a>,<a href="http://www.epa.gov/enviro/geo_data.html">http://www.epa.gov/enviro/geo_data.html</a>,A facility regulated by one or more programs of the EPA,Coordinate Pair (latitude / longitude),United States,Other,n/a,Included with data download,Environmental Protection Agency,Yes,Not Relevant,<a href="http://www.epa.gov/brownfields/">http://www.epa.gov/brownfields/</a>,Included with data download,Yes,,,,,,,,,,,,,,,,,,,http://www.epa.gov/enviro/html/frs_demo/geospatial_data/acres_frs.kmz,317KB,,,,,
http://www.data.gov/details/8,Clean Air Status and Trends Network (CASTNET): Ozone,Environmental Protection Agency,,Geography and Environment,4/1/1987,5/5/2009,8-hour maximum over a single day,"Daily, for each operating day of each station",8-hour daily maximum ozone concentrations as measured by the Clean Air Status and Trends Network (CASTNET),Raw Data Catalog,Administrative,"Ozone, Air Quality, Air Pollution, EPA, public health, environment, federal data download, clean air trends, monitoring air, federal datasets, ozone concentration, oxygen, respiratory",<a href="http://www.epa.gov/castnet/data.html">CASTNET ozone 8-hour daily maximum</a>,<a href="http://www.epa.gov/castnet">CASTNET</a>,<a href="http://www.epa.gov/castnet/data.html">http://www.epa.gov/castnet/data.html</a>,An air quality sampling station,Coordinate Pair (latitude / longitude),United States,Other,<a href="http://www.epa.gov/castnet/docs.html">http://www.epa.gov/castnet/docs.html</a>,Included with data download,Environmental Protection Agency,Yes,Not Relevant,<a href="http://www.epa.gov/castnet/docs.html">http://www.epa.gov/castnet/docs.html</a>,Included with data download,No,,,,,,,,,,,,,,,ftp://ftp.epa.gov/castnet/data/ozone_8hr_dmax/ozone_8hr_dmax.zip,1.7MB,,,,,,,,,
http://www.data.gov/details/9,Clean Air Status and Trends Network (CASTNET): Visibility,Environmental Protection Agency,,Geography and Environment,10/1/1993,6/30/2002,10/1993 - 6/2002,Hourly,Nephelometer data (conforms to IMPROVE network standards) from October 1993 to June 2002. This table is no longer updated.,Raw Data Catalog,Administrative,"Visibility, Air Quality, Air Pollution, EPA, federal data download, public health, environment, nephelometer, visibility, clean air trends, CASTNET, federal datasets, ambient, particles, acid rain, dry deposition, so2, hno3, nitric acid, ozone, monitoring, ambient concentrations",<a href="http://www.epa.gov/castnet/data.html">CASTNET nephelometer data (visibility)</a>,<a href="http://www.epa.gov/castnet">CASTNET</a>,<a href="http://www.epa.gov/castnet/data.html">http://www.epa.gov/castnet/data.html</a>,An air quality sampling station,Coordinate Pair (latitude / longitude),United States,Other,<a href="http://www.epa.gov/castnet/docs.html">http://www.epa.gov/castnet/docs.html</a>,Included with data download,Environmental Protection Agency,Yes,Not Relevant,<a href="http://www.epa.gov/castnet/docs.html">http://www.epa.gov/castnet/docs.html</a>,Included with data download,No,,,,,,,,,,,,,,,ftp://ftp.epa.gov/castnet/data/visneph/visneph.zip,2.6MB,,,,,,,,,
http://www.data.gov/details/10,"Residential Energy Consumption Survey (RECS) Files, All Data, 2005",Department of Energy,Energy Information Administration,Energy and Utilities,1978,2005,Annual,Quadrennial,"The Residential Energy Consumption Survey (RECS), which is conducted every four years, provides national statistical survey data on the use of energy in residential housing units including physical housing unit types, appliances utilized, demographics, fuels, and other energy use information. This dataset (i.e., the full RECS dataset) is very large in size and may require specialized software to open on your computer. The file might not open completely in Excel 2003 or earlier versions. For a subset of the data pertaining only to Energy Consumption component of RECS, please go to: <a href=""/details/59"">http://www.data.gov/details/59</a>",Raw Data Catalog,Statistical,"Residential energy consumption data, energy consumption, energy use, Household use of energy, data, federal data download, national, housing, appliances, RECS data, energy, federal datasets, energy data, statistics",<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov">http://www.eia.doe.gov</a>,<a href="http://www.eia.doe.gov/consumption/">http://www.eia.doe.gov/consumption/</a>,household,"RECS data are tabulated for the four Census regions, the nine Census divisions, and for the four most populous States--California, Florida, New York, and Texas.",United States,"The survey collected data from 4,382 households sampled at random using a complex multistage, area-probability design to represent 111.1 million U.S. households, the Census Bureau's statistical estimate for all occupied housing units in 2005. Data were obtained from residential energy suppliers for each unit in the sample to produce the Consumption and Expenditures data.",<a href="http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf">http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf</a>,<a href="http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutAllData.csv">http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutAllData.csv</a>,EIA,Yes,Yes,<a href="http://www.eia.doe.gov/emeu/recs/recspubuse05/pubuse05.html">http://www.eia.doe.gov/emeu/recs/recspubuse05/pubuse05.html</a>,<a href="http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf">http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf</a>,,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,<a href="http://www.eia.doe.gov/emeu/recs/">http://www.eia.doe.gov/emeu/recs/</a>,,,,,http://www.eia.doe.gov/emeu/recs/recspubuse05/datafiles/RECS05alldata.csv,10.3MB,,,,,,,,,
http://www.data.gov/details/11,Storm Prediction Report,Department of Commerce,National Oceanic and Atmospheric Administration,Geography and Environment,6/1/1999,at least daily,dependant on weather,dependant on weather,"The National Weather Service Storm Prediction Center (SPC) provides daily RSS feeds summarizing today's latest information about tornado and severe thunderstorm watches, mesoscale discussions, convective day 1-3 outlooks, and fire weather outlooks.  Although available to all, the data provided may be of particular value to weather professionals and students of meteorological sciences.",Raw Data Catalog,Geospatial,"storm reports, watch and warning map, National RADAR, Product Archive, tornao reports, hail reports, wind reports, federal data download, national, monitoring and forecasting severe weather, convective outlooks, severe weather, fire weather outlooks, severe weather watches, federal datasets, environment, tornado, twister, funnel, thunderstorm, watches, warnings, alerts",<a href="http://www.spc.noaa.gov/">http://www.spc.noaa.gov/</a>,<a href="http://www.ncep.noaa.gov/">http://www.ncep.noaa.gov/</a>,<a href="http://www.spc.noaa.gov/">http://www.spc.noaa.gov/</a>,Storm Prediction Reports,by storm,Continental US,"Radar, Satellite, observation, numeric prediction models",<a href="http://www.spc.noaa.gov/misc/about.html">http://www.spc.noaa.gov/misc/about.html</a>,<a href="http://wdsii.nssl.noaa.gov/geotiff_new/accessing.html">http://wdsii.nssl.noaa.gov/geotiff_new/accessing.html</a>,"NOAA, NWS",Yes,Yes,<a href="http://www.spc.noaa.gov/faq/">http://www.spc.noaa.gov/faq/</a>,<a href="http://www.spc.noaa.gov/climo/reports/today.html">http://www.spc.noaa.gov/climo/reports/today.html</a>,Yes,,,,,,,,,,,,,http://www.spc.noaa.gov/products/spcrss.xml,< 8MB,,,,,,,,,,,
http://www.data.gov/details/13,Active Mines and Mineral Plants in the US,Department of the Interior,US Geological Survey,Geography and Environment,2005,2005,current as of 2003,as needed,Mine plants and operations for commodities monitored by the Minerals Information Team of the USGS. Operations included are those considered active in 2003 and surveyed by the USGS. ,Raw Data Catalog,Research,"EPA, Brownfields, Assessment Grant, Hazardous Substance, Property Redevelopment, public health, environment, federal data download, regulated sites, hazardous, contaminated, polluted, federal datasets, Land Revitalization, land redevelopment, land reuse, real property, hazardous substance, kmz, xml, Shapefile",,<a href="http://mrdata.usgs.gov/">http://mrdata.usgs.gov/</a>,<a href="http://tin.er.usgs.gov/mineplant/">http://tin.er.usgs.gov/mineplant/</a>,site,individual mine sites as reported by industry,Nationwide,survey of mineral industry,"online forms, personal contact",Included in metadata,US Geological Survey,Yes,Yes,<a href="http://tin.er.usgs.gov/mineplant/">http://tin.er.usgs.gov/mineplant/</a>,<a href="http://tin.er.usgs.gov/metadata/mineplant.xml">http://tin.er.usgs.gov/metadata/mineplant.xml</a>,Yes,,,,,,,,,,,,,,,,,,,http://tin.er.usgs.gov/mineplant/mineplant-fUS.kml,3.3MB,http://tin.er.usgs.gov/mineplant/mineplant.zip,325KB,,,
http://www.data.gov/details/14,Mineral Resource Data System: Conterminous US ,Department of the Interior,US Geological Survey,Geography and Environment,1996,2009,variable,revision ongoing,"MRDS describes metallic and nonmetallic mineral resources throughout the world. Included are deposit name, location, commodity, deposit description, geologic characteristics, production, reserves, resources, and references. It includes the original MRDS and MAS/MILS data.",Raw Data Catalog,Research,"MRDS, metallic, nonmetallic, mineral, resources, deposit, name, location, commodity, description, geologic, characteristics, production, reserves, references, MAS, MILS, federal data download, environment, mining industry, economy, economic geology, mineral resources, federal datasets, geology, site, deposit, operation, mining district, commodities, ore, processing plant, geochemical",,<a href="http://mrdata.usgs.gov/">http://mrdata.usgs.gov/</a>,<a href="http://tin.er.usgs.gov/mrds/">http://tin.er.usgs.gov/mrds/</a>,site,"individual mines, prospects, and occurrences as well as groups",global,compilation by researchers,various database entry systems,included in metadata,Interior / US Geological Survey,Yes,Yes,<a href="http://tin.er.usgs.gov/mrds/">http://tin.er.usgs.gov/mrds/</a>,<a href="http://tin.er.usgs.gov/metadata/mrds.xml">http://tin.er.usgs.gov/metadata/mrds.xml</a>,Yes,,,,,,,,,,,,,,,,,,,,,http://tin.er.usgs.gov/mrds/mrds.zip,38.9MB,,,
http://www.data.gov/details/15,Resource Data File - Alaska (ARDF),Department of the Interior,US Geological Survey,Geography and Environment,1988,2008,current as of 2008,as needed,The value of mineral production by state in the United States. The data represent commodities covered by the Minerals Information Team of the U.S. Geological Survey.,Raw Data Catalog,Research,"Alaska, value, mineral, production, state, United, commodities, Minerals, information, Team, USGS, federal data download, environment, mining industry, economy, economic geology, mineral resources, federal datasets, environment, mines, prospects, mineral occurrences, gold, silver",,<a href="http://mrdata.usgs.gov/">http://mrdata.usgs.gov/</a>,<a href="http://tin.er.usgs.gov/ardf/">http://tin.er.usgs.gov/ardf/</a>,site,"individual mines, prospects, and occurrences",Alaska,compilation by researchers and contractors,FileMaker Pro entry forms,included in metadata,Interior / US Geological Survey,Yes,Yes,<a href="http://tin.er.usgs.gov/ardf/">http://tin.er.usgs.gov/ardf/</a>,<a href="http://tin.er.usgs.gov/metadata/ardf.xml">http://tin.er.usgs.gov/metadata/ardf.xml</a>,,,,,,,,,,,,,,,,,,,,http://tin.er.usgs.gov/ardf/ardf-fUS02.kml,3.4MB,http://tin.er.usgs.gov/ardf/ardf.zip,3.5MB,,,
